State,City,Avg In Snow / Year
Massachusetts,West Otis,53.6
Massachusetts,Worthington,79.7
Maryland,Assateague Island,3.9
Maryland,Chestertown,16.4
Maryland,Royal Oak,14.7
Maryland,Salisbury,3.2
Maryland,Snow Hill,11.4
Maryland,Baltimore,20.2
Maryland,Beltsville,15.2
Maryland,Catoctin Mountain Park,32.6
Maryland,Frederick,16.5
Maryland,La Plata,16.1
Maryland,Rockville,17.1
Maryland,Cumberland,28.9
Maryland,Oakland,106.1
Maine,Acadia National Park,71.8
Maine,Belfast,63.9
Maine,Brunswick,57.6
Maine,Eastport,57.8
Maine,Jonesboro,62.5
Maine,Kennebunkport,45.7
Maine,Newcastle,72.1
Maine,Port Clyde,51.9
Maine,Portland,61.8
Maine,Augusta,71.3
Maine,Bangor,66.1
Maine,Dover-Foxcroft,90.4
Maine,"Flagstaff Lake, Long Falls Dam",106.9
Maine,Lewiston,65.6
Maine,Rangeley,121.3
Maine,Waterville,64.3
Maine,"Chesuncook Lake, Ripogenus Dam",100.6
Maine,Fort Kent,97.1
Maine,Millinocket,84.1
Maine,"Moosehead Lake, Brassua Dam",103.6
Maine,Presque Isle,89.6
Kentucky,Farmers,9.5
Kentucky,Jackson,23.5
Kentucky,London,10.3
Kentucky,Bernheim Forest,4.8
Kentucky,Covington,22.1
Kentucky,Lexington,13
Kentucky,Louisville,12.5
Kentucky,Rough River Lake,5
Kentucky,"Warsaw, Markland Dam",7.6
Kentucky,Barren River Lake,6.4
Kentucky,Bowling Green,8.9
Kentucky,Mammoth Cave,5.5
Kentucky,Monticello,14.8
Kentucky,Nolin River Lake,4.2
Kentucky,Stearns,9.2
Kentucky,Henderson,12.8
Kentucky,Hopkinsville,7
Kentucky,Kentucky Dam Village,7
Kentucky,Paducah,9.1
Kansas,Fort Scott,10.8
Kansas,Independence,11.1
Kansas,John Redmond Lake,9.6
Kansas,Kansas City,13.4
Kansas,Lawrence,13.4
Kansas,Leavenworth,16.6
Kansas,Olathe,14.9
Kansas,Perry Lake,14.8
Kansas,Topeka,17.8
Kansas,Concordia,20.2
Kansas,Great Bend,15.5
Kansas,Hutchinson,12.2
Kansas,Lovewell Reservoir Dam,17.3
Kansas,Manhattan,16.7
Kansas,Salina,16.6
Kansas,Tuttle Creek Lake,8.8
Kansas,Wichita,14.7
Kansas,Wilson Lake,13.9
Kansas,Colby,29.8
Kansas,Dodge City,21.1
Kansas,Elkhart,21.4
Kansas,Garden City,18.3
Kansas,Goodland,35.5
Kansas,Keith Sebelius Reservoir,17.5
Kansas,Liberal,19.1
Kansas,Webster Reservoir Dam,15.6
Iowa,Burlington,23.5
Iowa,Cedar Rapids,31.5
Iowa,Clinton,30.3
Iowa,Cresco,39.5
Iowa,Decorah,38.8
Iowa,Dubuque,33.7
Iowa,Iowa City,27.2
Iowa,Waterloo,34.5
Iowa,Ames,31.6
Iowa,Des Moines,34.9
Iowa,Fort Dodge,35.8
Iowa,Marshalltown,25.4
Iowa,Mason City,41.2
Iowa,Ottumwa,23.5
Iowa,Carroll,29.2
