State,City,Avg In Rain / Year
New Hampshire,Pinkham Notch,62
New Hampshire,Plymouth,44.3
New Hampshire,Tamworth,52.4
Nevada,Boulder City,5.7
Nevada,"Callville Bay, Lake Mead",5.2
Nevada,Las Vegas,4.2
Nevada,Laughlin,6.4
Nevada,North Las Vegas,4.7
Nevada,Red Rock Canyon State Park,10.6
Nevada,Valley of Fire State Park,6.5
Nevada,Carson City,9.7
Nevada,Hawthorne,3.7
Nevada,Reno,7.4
Nevada,Virginia City,12.4
Nevada,Caliente,9.4
Nevada,Ely,9.8
Nevada,Eureka,11.3
Nevada,Great Basin National Park,13.9
Nevada,Spring Valley State Park,11.9
Nevada,Tonopah,5.2
Nevada,Elko,9.9
Nevada,Mountain City,12.5
Nevada,Ruby Lake,13.9
Nevada,Rye Patch Reservoir Dam,8.6
Nevada,Winnemucca,8.3
Nebraska,Columbus,29.2
Nebraska,Falls City,34.8
Nebraska,Fremont,30
Nebraska,Lincoln,29
Nebraska,Norfolk,27.4
Nebraska,Omaha,30.6
Nebraska,Enders Reservoir,19.3
Nebraska,Grand Island,26.7
Nebraska,Harlan County Lake,24.5
Nebraska,Hastings,28
Nebraska,Kearney,25.2
Nebraska,"Lake McConaughy, Kingsley Dam",19.3
Nebraska,McCook,22.5
Nebraska,North Platte,20.2
Nebraska,"Swanson Reservoir, Trenton Dam",21.5
Nebraska,O'Neill,25.3
Nebraska,Purdum,23.2
Nebraska,Valentine,20
Nebraska,Valentine National Wildlife Refuge,23.1
Nebraska,Chadron,18.1
Nebraska,Crescent Lake Wildlife Refuge,17.8
Nebraska,Kimball,16.9
Nebraska,Scottsbluff,15.8
Montana,Cut Bank,10.9
Montana,East Glacier Park,25.1
Montana,"Flathead Lake, Polson",15.5
Montana,Gibson Reservoir Dam,16.1
Montana,Kalispell,17
Montana,Libby,18.4
Montana,Missoula,14.1
Montana,Polebridge,19.5
Montana,Rogers Pass,16.6
Montana,Seeley Lake,20.2
Montana,West Glacier,29.2
Montana,Whitefish,20.6
Montana,Bozeman,19.7
Montana,Butte,12.8
Montana,Deer Lodge,10.6
Montana,Gardiner,10
Montana,Hebgen Lake Dam,28
Montana,Helena,11.2
Montana,Sula,16.2
Montana,Virginia City,15.3
Montana,West Yellowstone,22.8
Montana,"Bighorn Lake, Yellowtail Dam",17.2
Montana,Billings,13.7
Montana,Cooke City,24.8
Montana,Mystic Lake,24.8
Montana,Red Lodge,22.3
Montana,Culbertson,13.6
Montana,"Elwell Lake, Tiber Dam",10.2
Montana,Fort Peck Lake Dam,12
Montana,Glasgow,11.7
Montana,Glendive,13.6
Montana,Great Falls,14.8
Montana,Havre City,11.2
Montana,Lewistown,16.9
Montana,Miles City,12.4
Missouri,Cape Girardeau,46.8
Missouri,Caruthersville,51.6
Missouri,Cassville,47
Missouri,Clearwater Lake Dam,47.6
Missouri,Joplin,46.6
Missouri,Ozark Beach,43.7
Missouri,Poplar Bluff,48
Missouri,Springfield,45.6
Missouri,Stockton Lake Dam,45.9
Missouri,Wappapello Lake Dam,48.6
Missouri,Clinton,45
Missouri,Columbia,46.3
Missouri,Jefferson City,43.1
Missouri,Kansas City,39.1
Missouri,"Lake Ozark, Lakeside",43.2
Missouri,Lees Summit,43.3
Missouri,Nevada,46.5
Missouri,Pomme De Terre Lake Dam,44.7
Missouri,Rolla,48.2
Missouri,St Charles,43.1
Missouri,St Louis,41
Missouri,Hannibal,41.4
Missouri,Kirksville,40.7
Missouri,Maryville,37.3
Missouri,Moberly,43.2
Missouri,St Joseph,35.6
Missouri,Trenton,39.9
Mississippi,Biloxi,64.8
Mississippi,Gulfport,65.7
Mississippi,Pascagoula,65
Mississippi,Picayune,63.1
Mississippi,Hattiesburg,61.6
Mississippi,Laurel,56.6
Mississippi,McComb,61.1
Mississippi,Natchez,61
Mississippi,Greenville,52.4
Mississippi,Greenwood,51.8
Mississippi,Jackson,54.1
Mississippi,Meridian,56.2
